Churn  CallMinutes  AgeGroup  CallCustomerSupport  CallDrops  PhoneType  Plan
yes  Medium  Middle  More  Normal  IOS  Frequent
yes  High  Young  Less  AboveNormal  IOS  Basic 
yes  High  Young  Less  AboveNormal  Android  Frequent
no  Medium  Old  More  Normal  IOS  Regular
yes  High  Old  More  Normal  Windows  Regular
yes  Medium  Middle  More  Normal  IOS  Basic
no  Medium  Old  Less  Normal  Android  Basic
no  High  Young  Less  Normal  Android  Basic
no  Medium  Young  Less  AboveNormal  Android  Frequent
no  Low  Old  Less  AboveNormal  Windows  Regular
no  Medium  Young  Less  Normal  Android  Regular
yes  High  Old  More  AboveNormal  Android  Basic
yes  Medium  Middle  Less  Normal  Windows  Frequent
no  Medium  Middle  More  Normal  Android  Regular
yes  Low  Old  Less  Normal  IOS  Regular
no  High  Young  More  Normal  Windows  Frequent
yes  High  Old  Less  Normal  Windows  Basic
no  Medium  Middle  Less  Normal  IOS  Basic
yes  High  Middle  Less  AboveNormal  Android  Basic
no  Medium  Young  Less  Normal  Windows  Regular
no  High  Young  More  Normal  IOS  Frequent
no  High  Young  More  AboveNormal  IOS  Frequent
no  High  Old  More  Normal  Android  Regular
no  High  Old  Less  AboveNormal  Windows  Frequent
yes  Low  Old  More  Normal  Android  Regular
no  High  Middle  More  Normal  Android  Frequent
yes  Medium  Old  Less  Normal  Android  Regular
yes  Low  Young  More  Normal  Android  Regular
yes  Medium  Old  Less  Normal  Windows  Basic
yes  Low  Young  More  Normal  IOS  Frequent
yes  High  Middle  Less  AboveNormal  IOS  Basic
no  Low  Middle  Less  AboveNormal  IOS  Frequent
yes  Medium  Old  More  Normal  Windows  Basic
no  High  Middle  Less  Normal  IOS  Regular
no  High  Old  Less  AboveNormal  Windows  Basic
yes  Medium  Young  More  AboveNormal  Android  Frequent
yes  High  Young  More  Normal  IOS  Regular
no  High  Young  Less  AboveNormal  IOS  Regular
yes  Medium  Old  More  AboveNormal  IOS  Regular
no  High  Middle  More  Normal  IOS  Regular
yes  High  Middle  More  AboveNormal  IOS  Regular
yes  Low  Old  More  Normal  Windows  Basic
yes  Medium  Young  Less  AboveNormal  Android  Regular
no  Low  Young  More  AboveNormal  Windows  Basic
no  Low  Young  More  Normal  Android  Basic
no  High  Middle  Less  Normal  Windows  Frequent
yes  High  Middle  Less  AboveNormal  IOS  Regular
no  High  Middle  Less  Normal  Android  Basic
yes  Medium  Young  More  Normal  Android  Frequent
no  Low  Middle  Less  Normal  Windows  Frequent
no  Low  Old  More  Normal  IOS  Basic
yes  Medium  Old  Less  Normal  IOS  Regular
yes  Medium  Young  More  AboveNormal  IOS  Frequent
no  High  Old  More  AboveNormal  IOS  Frequent
no  High  Old  Less  AboveNormal  Windows  Regular
no  Medium  Young  Less  Normal  Android  Regular
yes  Medium  Old  Less  AboveNormal  IOS  Basic
no  Low  Old  Less  AboveNormal  Android  Basic
no  Medium  Young  More  Normal  Android  Basic
no  Low  Old  Less  Normal  IOS  Frequent
no  Low  Old  More  AboveNormal  IOS  Frequent
yes  Medium  Old  Less  AboveNormal  IOS  Frequent
no  High  Middle  More  Normal  Windows  Basic
yes  Low  Middle  More  AboveNormal  IOS  Basic
yes  Medium  Young  Less  AboveNormal  Android  Frequent
no  High  Old  Less  Normal  IOS  Frequent
no  Medium  Middle  Less  Normal  IOS  Frequent
yes  Medium  Old  More  AboveNormal  IOS  Frequent
yes  Medium  Young  More  AboveNormal  Windows  Basic
no  High  Middle  Less  Normal  Windows  Frequent
yes  Medium  Middle  More  AboveNormal  Windows  Basic
no  Medium  Old  More  Normal  Android  Regular
no  Low  Old  Less  Normal  IOS  Basic
no  High  Old  Less  Normal  Windows  Regular
yes  Low  Middle  More  AboveNormal  Windows  Regular
yes  High  Young  More  AboveNormal  Android  Frequent
no  High  Old  More  AboveNormal  IOS  Regular
no  Medium  Young  More  Normal  IOS  Basic
no  Medium  Old  Less  AboveNormal  Android  Basic
no  Low  Young  Less  Normal  Windows  Regular
yes  High  Young  Less  AboveNormal  Android  Basic
yes  Low  Old  More  AboveNormal  Android  Regular
no  Medium  Old  More  AboveNormal  IOS  Regular
yes  Low  Old  More  Normal  IOS  Frequent
yes  Low  Young  More  Normal  Android  Regular
no  High  Old  Less  AboveNormal  IOS  Regular
yes  Medium  Middle  Less  AboveNormal  Android  Basic
yes  High  Young  More  AboveNormal  Android  Frequent
yes  Low  Middle  More  AboveNormal  Android  Regular
no  Medium  Middle  Less  AboveNormal  IOS  Regular
no  Medium  Middle  More  Normal  IOS  Frequent
no  Low  Young  More  Normal  Android  Frequent
no  High  Old  Less  Normal  IOS  Regular
yes  Medium  Old  More  Normal  IOS  Regular
no  Low  Old  More  Normal  IOS  Basic
no  Medium  Young  More  Normal  Windows  Basic
yes  Medium  Young  More  AboveNormal  Windows  Basic
no  Medium  Young  Less  AboveNormal  Android  Basic
no  Low  Old  More  Normal  Windows  Regular
no  Low  Old  More  Normal  IOS  Regular
no  Low  Young  More  AboveNormal  IOS  Frequent
