yes  High  Middle  More  High  Android  Frequent
no  High  Young  More  Normal  IOS  Regular
no  High  Old  More  High  Windows  Regular
no  Low  Young  More  Normal  Android  Frequent
no  Low  Middle  Less  High  Windows  Basic
no  Medium  Old  More  Normal  IOS  Regular
yes  High  Young  More  Normal  IOS  Regular
yes  Low  Old  Less  Normal  IOS  Regular
yes  Low  Middle  More  Normal  Windows  Basic
yes  Low  Young  More  Normal  Windows  Basic
yes  High  Young  More  High  Android  Regular
no  Medium  Old  Less  Normal  Android  Frequent
no  High  Young  Less  Normal  Android  Regular
no  High  Old  Less  Normal  IOS  Regular
no  High  Young  More  High  Windows  Basic
no  Low  Young  More  High  Android  Frequent
yes  Low  Middle  Less  High  Android  Regular
yes  Medium  Middle  Less  Normal  IOS  Regular
no  Low  Young  More  Normal  Windows  Frequent
no  Low  Young  Less  Normal  Windows  Basic
no  Medium  Old  More  Normal  Android  Frequent
yes  Medium  Young  More  High  Android  Frequent
no  Medium  Middle  More  Normal  Windows  Basic
yes  Medium  Old  Less  High  IOS  Frequent
yes  Low  Old  Less  Normal  IOS  Regular
yes  High  Middle  More  High  Windows  Regular
yes  High  Old  Less  Normal  Windows  Basic
yes  Medium  Young  More  High  Windows  Basic
yes  Low  Young  Less  Normal  Windows  Frequent
yes  Low  Young  Less  Normal  Windows  Frequent
yes  High  Young  More  High  Android  Basic
yes  Low  Middle  More  High  Windows  Regular
yes  Low  Young  More  High  IOS  Basic
yes  Low  Young  More  Normal  IOS  Frequent
no  High  Young  More  Normal  IOS  Regular
yes  High  Young  Less  High  IOS  Regular
no  Low  Young  More  High  Windows  Frequent
no  High  Young  Less  High  IOS  Regular
yes  Medium  Old  Less  High  Android  Frequent
yes  Low  Middle  More  High  IOS  Basic
no  High  Middle  More  Normal  Android  Frequent
yes  Medium  Middle  Less  Normal  IOS  Frequent
yes  Low  Young  More  Normal  Android  Regular
no  High  Young  More  High  Android  Frequent
yes  High  Old  More  Normal  Android  Basic
no  High  Old  Less  High  IOS  Frequent
yes  Low  Middle  More  High  IOS  Basic
yes  Medium  Young  Less  High  Windows  Basic
yes  High  Old  Less  High  Android  Regular
no  Medium  Old  Less  High  Windows  Frequent
yes  Low  Old  Less  Normal  IOS  Basic
no  High  Middle  More  Normal  Android  Frequent
yes  Low  Old  Less  Normal  Android  Basic
no  Medium  Old  More  High  Windows  Basic
no  High  Old  Less  Normal  Windows  Basic
no  Medium  Old  More  Normal  Android  Frequent
no  Low  Young  Less  Normal  Android  Basic
yes  Medium  Old  More  Normal  Android  Regular
no  Medium  Young  Less  Normal  Android  Frequent
yes  Low  Young  Less  Normal  IOS  Basic
yes  High  Old  More  High  IOS  Basic
no  Low  Middle  More  Normal  IOS  Regular
no  High  Old  More  High  Windows  Basic
no  High  Young  Less  High  IOS  Basic
no  Medium  Young  Less  High  Android  Basic
no  High  Old  Less  Normal  Windows  Regular
no  High  Young  Less  High  Android  Frequent
yes  Medium  Old  Less  Normal  Android  Regular
no  Medium  Middle  Less  High  Windows  Regular
no  Medium  Middle  Less  High  Windows  Regular
no  Medium  Old  Less  Normal  IOS  Frequent
no  Low  Middle  Less  High  Android  Regular
yes  Low  Old  Less  Normal  IOS  Regular
no  High  Middle  Less  Normal  Android  Regular
no  Low  Old  Less  Normal  Windows  Frequent
no  Low  Old  Less  Normal  Android  Basic
yes  Medium  Young  Less  Normal  Android  Regular
yes  High  Old  Less  Normal  IOS  Regular
yes  Medium  Old  More  High  IOS  Frequent
no  Low  Young  More  Normal  Android  Basic
yes  Low  Young  More  High  Android  Basic
yes  High  Young  Less  Normal  Windows  Basic
no  High  Old  Less  High  Windows  Basic
no  High  Young  Less  High  Android  Basic
no  Low  Young  More  Normal  IOS  Regular
no  High  Middle  More  High  Android  Frequent
no  High  Old  Less  High  IOS  Frequent
no  Medium  Old  Less  Normal  Android  Basic
no  Medium  Old  More  High  Android  Basic
no  Low  Middle  More  Normal  Windows  Regular
no  Medium  Middle  More  Normal  Android  Regular
no  High  Young  Less  Normal  IOS  Basic
no  Low  Middle  Less  Normal  IOS  Regular
no  High  Young  Less  Normal  Windows  Frequent
no  Medium  Middle  More  Normal  Android  Basic
yes  Medium  Young  Less  High  IOS  Basic
no  High  Old  Less  High  Android  Basic
no  Medium  Old  Less  Normal  Android  Frequent
no  Medium  Middle  Less  Normal  IOS  Basic
yes  High  Young  Less  High  IOS  Regular
